,ref,occ,type,lat,lon,easting,northing,la,main_type,area,island,group_road_connected,coll_area,biomass_total_desc,biomass_total,biomass_total_annual_change,biomass_annual_change_type,biomass_total_units,res_factor_desc,res_annual,res_annual_var,res_units,res_profile,res_proportional,res_type,availability_factor,availability_desc,available,point,year,biogas_yield,biogas_energy,biogas_annual_var,nearest_node,res_annual_scen,biogas_energy_scen,industrial_group,industrial_group_ref,res_biweekly,res_biweekly_kg
114,fish_processing_62,fish_processing,pelagic,55.63138514,-6.18394233,136753,645478,Argyll and Bute,food_processing,,Islay,Islay,Islay and Jura,"{'count': 9.0, 'mean': 574.3481333333333, 'std': 178.3618380802921, 'min': 286.8059999999999, '25%': 508.90337999999997, '50%': 597.7428, '75%': 660.9, 'max': 887.0268000000001}",660.9,1.039614367,linear,tonnes,"{'count': 1.0, 'mean': 9.9, 'std': nan, 'min': 9.9, '25%': 9.9, '50%': 9.9, '75%': 9.9, 'max': 9.9}",6542.91,"{2011: 8781.565320000002, 2012: 2839.3793999999994, 2013: 5038.143462, 2014: 3522.39327, 2015: 6442.6389389999995, 2016: 5525.648469, 2017: 6564.0861, 2018: 5917.65372, 2019: 6542.91}",tonnes,"{0: 0.0833, 1: 0.0833, 2: 0.0833, 3: 0.0833, 4: 0.0833, 5: 0.0833, 6: 0.0833, 7: 0.0833, 8: 0.0833, 9: 0.0833, 10: 0.0833, 11: 0.0833}",1,liquid,1,export_dependent,0,POINT (-6.18394233 55.63138514),2019,0.0243,159.0290625,"{2011: 213.39203727600002, 2012: 68.99691941999998, 2013: 122.4268861266, 2014: 85.594156461, 2015: 156.55612621769998, 2016: 134.2732577967, 2017: 159.50729223, 2018: 143.798985396, 2019: 158.99271299999998}",2777344629,"{'high': 85.594156461, 'mean': 135.5682076155, 'low': 213.39203727600002}","{'high': 85.594156461, 'mean': 135.5682076155, 'low': 213.39203727600002}",315846444,distillery_d_5,251.6503846,251650
175,farm_19,farm,cow,55.97082,-5.84778,160000,682000,Argyll and Bute,land_farm,,Jura,Jura,Islay and Jura,"{'count': 20.0, 'mean': 17.30378268837898, 'std': 0.7858429331172238, 'min': 16.060000000000002, '25%': 16.519559877469497, '50%': 17.33454413958041, '75%': 17.859640734613333, 'max': 18.703774791804108}",16.06,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.063417532,"{1999: 0.073857238155632, 2000: 0.07331722098636903, 2001: 0.06883692466315154, 2002: 0.069897593965033, 2003: 0.07005132200779839, 2004: 0.07044122401426697, 2005: 0.07077205543320995, 2006: 0.07222060352877628, 2007: 0.07098904500426725, 2008: 0.06901977251848304, 2009: 0.06752685825687305, 2010: 0.06806394899335953, 2011: 0.06715628515824923, 2012: 0.0664812907932703, 2013: 0.06493508655208828, 2014: 0.06479179973243905, 2015: 0.06524810647277433, 2016: 0.06518462817168416, 2017: 0.06437079082942031, 2018: 0.06341753244907618}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-5.84778 55.97082),2015,1.66,0.105273104,"{1999: 0.12260301533834911, 2000: 0.12170658683737258, 2001: 0.11426929494083156, 2002: 0.11603000598195479, 2003: 0.11628519453294532, 2004: 0.11693243186368317, 2005: 0.11748161201912852, 2006: 0.11988620185776862, 2007: 0.11784181470708363, 2008: 0.11457282238068184, 2009: 0.11209458470640925, 2010: 0.11298615532897682, 2011: 0.11147943336269371, 2012: 0.11035894271682868, 2013: 0.10779224367646655, 2014: 0.10755438755584881, 2015: 0.10831185674480538, 2016: 0.1082064827649957, 2017: 0.1068555127768377, 2018: 0.10527310386546646}",290774921,"{'high': 0.10755438755584881, 'mean': 0.10822899543299287, 'low': 0.11147943336269371}","{'high': 0.10755438755584881, 'mean': 0.10822899543299287, 'low': 0.11147943336269371}",443270305,distillery_d_18,0.002439136,2
178,farm_33,farm,cow,55.65248,-6.23,134000,648000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 28.62235287153098, 'std': 1.2998703311493818, 'min': 26.565, '25%': 27.325162400060844, '50%': 28.673235682936088, '75%': 29.54180299595287, 'max': 30.9380932343883}",26.565,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.104899549,"{1999: 0.12216796585332279, 2000: 0.1212747182753981, 2001: 0.11386381716541846, 2002: 0.11561828042846213, 2003: 0.11587256345810484, 2004: 0.1165175041057909, 2005: 0.11706473552822058, 2006: 0.11946079282328405, 2007: 0.11742366005842836, 2008: 0.1141662675562579, 2009: 0.11169682376051258, 2010: 0.11258523069792002, 2011: 0.11108385524463828, 2012: 0.1099673405929779, 2013: 0.10740974933102272, 2014: 0.10717273722865775, 2015: 0.1079275185833904, 2016: 0.1078225185168611, 2017: 0.10647634236510276, 2018: 0.10489954853734175}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.23 55.65248),2015,1.66,0.174133251,"{1999: 0.20279882331651583, 2000: 0.20131603233716083, 2001: 0.18901393649459464, 2002: 0.19192634551124713, 2003: 0.19234845534045403, 2004: 0.1934190568156129, 2005: 0.19432746097684617, 2006: 0.19830491608665152, 2007: 0.19492327569699106, 2008: 0.18951600414338812, 2009: 0.18541672744245088, 2010: 0.18689148295854724, 2011: 0.18439919970609953, 2012: 0.1825457853843433, 2013: 0.1783001838894977, 2014: 0.17790674379957186, 2015: 0.17915968084842807, 2016: 0.17898538073798942, 2017: 0.17675072832607056, 2018: 0.1741332505719873}",4253447234,"{'high': 0.17790674379957186, 'mean': 0.17902261915799847, 'low': 0.18439919970609953}","{'high': 0.17790674379957186, 'mean': 0.17902261915799847, 'low': 0.18439919970609953}",315846444,distillery_d_5,0.004034598,4
249,farm_839,farm,cow,55.8708,-6.15776,140000,672000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 95.40784290510327, 'std': 4.332901103831271, 'min': 88.55000000000001, '25%': 91.08387466686949, '50%': 95.57745227645363, '75%': 98.47267665317625, 'max': 103.12697744796101}",88.55,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.349665162,"{1999: 0.40722655284440934, 2000: 0.4042490609179937, 2001: 0.37954605721806156, 2002: 0.38539426809487376, 2003: 0.38624187819368283, 2004: 0.3883916803526364, 2005: 0.3902157850940686, 2006: 0.3982026427442802, 2007: 0.3914122001947612, 2008: 0.38055422518752635, 2009: 0.3723227458683753, 2010: 0.3752841023264001, 2011: 0.37027951748212756, 2012: 0.36655780197659305, 2013: 0.3580324977700758, 2014: 0.3572424574288592, 2015: 0.35975839527796805, 2016: 0.35940839505620376, 2017: 0.3549211412170092, 2018: 0.3496651617911392}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.15776 55.8708),2015,1.66,0.580444169,"{1999: 0.6759960777217194, 2000: 0.6710534411238694, 2001: 0.6300464549819822, 2002: 0.6397544850374904, 2003: 0.6411615178015134, 2004: 0.6447301893853764, 2005: 0.6477582032561539, 2006: 0.6610163869555051, 2007: 0.6497442523233036, 2008: 0.6317200138112937, 2009: 0.618055758141503, 2010: 0.6229716098618241, 2011: 0.6146639990203318, 2012: 0.6084859512811445, 2013: 0.5943339462983258, 2014: 0.5930224793319062, 2015: 0.5971989361614269, 2016: 0.5966179357932982, 2017: 0.5891690944202352, 2018: 0.5804441685732911}",3722176578,"{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}","{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}",1150183051,distillery_d_6,0.01344866,13
252,farm_887,farm,cow,56.08477,-6.21299,138000,696000,Argyll and Bute,land_farm,,Colonsay,Colonsay,Islay and Jura,"{'count': 20.0, 'mean': 51.3780122973444, 'std': 2.333307613056964, 'min': 47.685, '25%': 49.04951511563717, '50%': 51.469348524028135, '75%': 53.028453825033424, 'max': 55.53483816607589}",47.685,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.188297947,"{1999: 0.21929529274292103, 2000: 0.21769188559993818, 2001: 0.20438908795531638, 2002: 0.2075384039989165, 2003: 0.20799484993411368, 2004: 0.2091525384259228, 2005: 0.21013483582394873, 2006: 0.2144358330803049, 2007: 0.21077911650239625, 2008: 0.20493199579974244, 2009: 0.2004992674955785, 2010: 0.2020939855385024, 2011: 0.1993989699732948, 2012: 0.19739479149919634, 2013: 0.19280383575568677, 2014: 0.19237839167131732, 2015: 0.19373324764347719, 2016: 0.19354476926318545, 2017: 0.19112834126406644, 2018: 0.18829794737448302}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.21299 56.08477),2015,1.66,0.312574593,"{1999: 0.3640301859532489, 2000: 0.36136853009589737, 2001: 0.33928588600582515, 2002: 0.34451375063820133, 2003: 0.3452714508906287, 2004: 0.34719321378703183, 2005: 0.34882382746775487, 2006: 0.3559634829133061, 2007: 0.34989333339397777, 2008: 0.34018711302757243, 2009: 0.3328287840426603, 2010: 0.33547601599391397, 2011: 0.33100229015566934, 2012: 0.3276753538886659, 2013: 0.32005436735444004, 2014: 0.31934813017438674, 2015: 0.3215971910881721, 2016: 0.3212843169768878, 2017: 0.31727304649835025, 2018: 0.3125745926416418}",1831910083,"{'high': 0.31934813017438674, 'mean': 0.3213511610972768, 'low': 0.33100229015566934}","{'high': 0.31934813017438674, 'mean': 0.3213511610972768, 'low': 0.33100229015566934}",3007559455,cafe_140518,0.007242229,7
259,farm_975,farm,cow,55.70291,-6.33102,128000,654000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 95.40784290510327, 'std': 4.332901103831271, 'min': 88.55000000000001, '25%': 91.08387466686949, '50%': 95.57745227645363, '75%': 98.47267665317625, 'max': 103.12697744796101}",88.55,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.349665162,"{1999: 0.40722655284440934, 2000: 0.4042490609179937, 2001: 0.37954605721806156, 2002: 0.38539426809487376, 2003: 0.38624187819368283, 2004: 0.3883916803526364, 2005: 0.3902157850940686, 2006: 0.3982026427442802, 2007: 0.3914122001947612, 2008: 0.38055422518752635, 2009: 0.3723227458683753, 2010: 0.3752841023264001, 2011: 0.37027951748212756, 2012: 0.36655780197659305, 2013: 0.3580324977700758, 2014: 0.3572424574288592, 2015: 0.35975839527796805, 2016: 0.35940839505620376, 2017: 0.3549211412170092, 2018: 0.3496651617911392}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.33102 55.70291),2015,1.66,0.580444169,"{1999: 0.6759960777217194, 2000: 0.6710534411238694, 2001: 0.6300464549819822, 2002: 0.6397544850374904, 2003: 0.6411615178015134, 2004: 0.6447301893853764, 2005: 0.6477582032561539, 2006: 0.6610163869555051, 2007: 0.6497442523233036, 2008: 0.6317200138112937, 2009: 0.618055758141503, 2010: 0.6229716098618241, 2011: 0.6146639990203318, 2012: 0.6084859512811445, 2013: 0.5943339462983258, 2014: 0.5930224793319062, 2015: 0.5971989361614269, 2016: 0.5966179357932982, 2017: 0.5891690944202352, 2018: 0.5804441685732911}",2847169117,"{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}","{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}",7943532041,distillery_d_4,0.01344866,13
264,farm_1016,farm,cow,55.80586,-6.47023,120000,666000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 91.97079017932933, 'std': 4.176809014376477, 'min': 85.36, '25%': 87.8025922254543, '50%': 92.13428939941366, '75%': 94.92521376753386, 'max': 99.41184409890401}",85.36,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.337068529,"{1999: 0.3925562795121262, 2000: 0.3896860512700162, 2001: 0.36587296944250397, 2002: 0.37151049943058634, 2003: 0.37232757450720233, 2004: 0.3743999303771997, 2005: 0.37615832202856797, 2006: 0.38385745437212593, 2007: 0.3773116364610368, 2008: 0.36684481831741667, 2009: 0.35890987676255803, 2010: 0.3617645508140204, 2011: 0.3569402553616534, 2012: 0.3533526140792996, 2013: 0.34513443263301713, 2014: 0.34437285337241574, 2015: 0.3467981549511841, 2016: 0.346460763433061, 2017: 0.34213516221664486, 2018: 0.33706852863344594}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.47023 55.80586),2015,1.66,0.559533758,"{1999: 0.6516434239901294, 2000: 0.6468788451082269, 2001: 0.6073491292745565, 2002: 0.6167074290547733, 2003: 0.6180637736819559, 2004: 0.6215038844261515, 2005: 0.6244228145674228, 2006: 0.637203374257729, 2007: 0.6263373165253211, 2008: 0.6089623984069117, 2009: 0.5957903954258463, 2010: 0.6005291543512739, 2011: 0.5925208239003447, 2012: 0.5865653393716372, 2013: 0.5729231581708084, 2014: 0.5716589365982101, 2015: 0.5756849372189656, 2016: 0.5751248672988812, 2017: 0.5679443692796304, 2018: 0.5595337575315202}",4520852465,"{'high': 0.5716589365982101, 'mean': 0.5752445236712498, 'low': 0.5925208239003447}","{'high': 0.5716589365982101, 'mean': 0.5752445236712498, 'low': 0.5925208239003447}",1309075400,distillery_d_20,0.012964174,13
267,farm_1030,farm,cow,55.77682,-6.27539,132000,662000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 95.40784290510327, 'std': 4.332901103831271, 'min': 88.55000000000001, '25%': 91.08387466686949, '50%': 95.57745227645363, '75%': 98.47267665317625, 'max': 103.12697744796101}",88.55,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.349665162,"{1999: 0.40722655284440934, 2000: 0.4042490609179937, 2001: 0.37954605721806156, 2002: 0.38539426809487376, 2003: 0.38624187819368283, 2004: 0.3883916803526364, 2005: 0.3902157850940686, 2006: 0.3982026427442802, 2007: 0.3914122001947612, 2008: 0.38055422518752635, 2009: 0.3723227458683753, 2010: 0.3752841023264001, 2011: 0.37027951748212756, 2012: 0.36655780197659305, 2013: 0.3580324977700758, 2014: 0.3572424574288592, 2015: 0.35975839527796805, 2016: 0.35940839505620376, 2017: 0.3549211412170092, 2018: 0.3496651617911392}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.27539 55.77682),2015,1.66,0.580444169,"{1999: 0.6759960777217194, 2000: 0.6710534411238694, 2001: 0.6300464549819822, 2002: 0.6397544850374904, 2003: 0.6411615178015134, 2004: 0.6447301893853764, 2005: 0.6477582032561539, 2006: 0.6610163869555051, 2007: 0.6497442523233036, 2008: 0.6317200138112937, 2009: 0.618055758141503, 2010: 0.6229716098618241, 2011: 0.6146639990203318, 2012: 0.6084859512811445, 2013: 0.5943339462983258, 2014: 0.5930224793319062, 2015: 0.5971989361614269, 2016: 0.5966179357932982, 2017: 0.5891690944202352, 2018: 0.5804441685732911}",8454871819,"{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}","{'high': 0.5930224793319062, 'mean': 0.596742063859995, 'low': 0.6146639990203318}",1309075400,distillery_d_20,0.01344866,13
268,farm_1032,farm,cow,56.00866,-5.78735,164000,686000,Argyll and Bute,land_farm,,Jura,Jura,Islay and Jura,"{'count': 20.0, 'mean': 8.65189134418949, 'std': 0.3929214665586119, 'min': 8.030000000000001, '25%': 8.259779938734749, '50%': 8.667272069790204, '75%': 8.929820367306666, 'max': 9.351887395902054}",8.03,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.031708766,"{1999: 0.036928619077816, 2000: 0.036658610493184515, 2001: 0.03441846233157577, 2002: 0.0349487969825165, 2003: 0.03502566100389919, 2004: 0.03522061200713349, 2005: 0.03538602771660498, 2006: 0.03611030176438814, 2007: 0.03549452250213363, 2008: 0.03450988625924152, 2009: 0.03376342912843652, 2010: 0.034031974496679766, 2011: 0.033578142579124615, 2012: 0.03324064539663515, 2013: 0.03246754327604414, 2014: 0.032395899866219525, 2015: 0.03262405323638717, 2016: 0.03259231408584208, 2017: 0.032185395414710154, 2018: 0.03170876622453809}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-5.78735 56.00866),2015,1.66,0.052636552,"{1999: 0.061301507669174554, 2000: 0.06085329341868629, 2001: 0.05713464747041578, 2002: 0.05801500299097739, 2003: 0.05814259726647266, 2004: 0.058466215931841585, 2005: 0.05874080600956426, 2006: 0.05994310092888431, 2007: 0.058920907353541815, 2008: 0.05728641119034092, 2009: 0.056047292353204624, 2010: 0.05649307766448841, 2011: 0.055739716681346856, 2012: 0.05517947135841434, 2013: 0.05389612183823327, 2014: 0.053777193777924406, 2015: 0.05415592837240269, 2016: 0.05410324138249785, 2017: 0.05342775638841885, 2018: 0.05263655193273323}",1778391306,"{'high': 0.053777193777924406, 'mean': 0.054114497716496436, 'low': 0.055739716681346856}","{'high': 0.053777193777924406, 'mean': 0.054114497716496436, 'low': 0.055739716681346856}",443270305,distillery_d_18,0.001219568,1
299,farm_1604,farm,cow,55.6188,-6.16279,138000,644000,Argyll and Bute,land_farm,,Islay,Islay,Islay and Jura,"{'count': 20.0, 'mean': 57.24470574306196, 'std': 2.5997406622987635, 'min': 53.13, '25%': 54.65032480012169, '50%': 57.346471365872176, '75%': 59.08360599190574, 'max': 61.8761864687766}",53.13,0.993411676,linear,tonnes,"{'count': 9.0, 'mean': 0.00394878782372828, 'std': 0.00026824313846252057, 'min': 0.0035488446325129385, '25%': 0.0037703199437344906, '50%': 0.004030824859916142, '75%': 0.004041569283473138, 'max': 0.004409126050255475}",0.209799097,"{1999: 0.24433593170664558, 2000: 0.2425494365507962, 2001: 0.22772763433083693, 2002: 0.23123656085692426, 2003: 0.2317451269162097, 2004: 0.2330350082115818, 2005: 0.23412947105644116, 2006: 0.2389215856465681, 2007: 0.23484732011685672, 2008: 0.2283325351125158, 2009: 0.22339364752102517, 2010: 0.22517046139584004, 2011: 0.22216771048927655, 2012: 0.2199346811859558, 2013: 0.21481949866204544, 2014: 0.2143454744573155, 2015: 0.2158550371667808, 2016: 0.2156450370337222, 2017: 0.2129526847302055, 2018: 0.2097990970746835}",tonnes,"{1: 0.0903, 2: 0.079, 3: 0.0814, 4: 0.0923, 5: 0.08, 6: 0.0786, 7: 0.0901, 8: 0.0744, 9: 0.0774, 10: 0.0944, 11: 0.0826, 12: 0.0795}",1,solid,1,pure waste,1,POINT (-6.16279 55.6188),2015,1.66,0.348266501,"{1999: 0.40559764663303166, 2000: 0.40263206467432167, 2001: 0.3780278729891893, 2002: 0.38385269102249425, 2003: 0.38469691068090806, 2004: 0.3868381136312258, 2005: 0.38865492195369233, 2006: 0.39660983217330303, 2007: 0.3898465513939821, 2008: 0.37903200828677625, 2009: 0.37083345488490177, 2010: 0.3737829659170945, 2011: 0.36879839941219905, 2012: 0.3650915707686866, 2013: 0.3566003677789954, 2014: 0.3558134875991437, 2015: 0.35831936169685613, 2016: 0.35797076147597884, 2017: 0.3535014566521411, 2018: 0.3482665011439746}",8888258380,"{'high': 0.3558134875991437, 'mean': 0.35804523831599694, 'low': 0.36879839941219905}","{'high': 0.3558134875991437, 'mean': 0.35804523831599694, 'low': 0.36879839941219905}",315846444,distillery_d_5,0.008069196,8
